Date Submitted,Date of Sighting,City,ST,Short Description
8/19/2018,5/18/2018,North Highland , CA,{rjl} The ufo was noticed 3 months after the event on video taken with an Iphone.
8/17/2018,5/20/2018,Chula Vista, CA,"{cak} no idea what it was, after the video was taken, i saw it larger with a different position"
8/13/2018,5/14/2018,San Luis Obispo, CA,"{cak} Slow moving fireball, piece broke off and pulsated. Disintegrated in air."
8/3/2018,5/19/2018,fresno, CA,Boomerang in Fresno
7/12/2018,5/11/2018,CA, US,{jpg} NASA'S STEREO scope caught UFO.
6/18/2018,5/24/2018,Victorville, CA,{rjl} UFO captured close to weird formation cloud
5/31/2018,5/25/2018,Santa Monica, CA,{td} was black then as it went west towards the sun it was like a very bright star.
5/30/2018,5/28/2018,loomis, CA,"{td} heard military jets, went to look saw 2 f18s flying aggressively low alt, looked straight up saw v shaped black ufo"
5/30/2018,5/28/2018,hesperia, CA,{td} white spinning 1st looking like boomarang then a circle
5/29/2018,5/23/2018,Lathrop, CA,"{td} Three bright objects with varying degrees of altitude. Similar in size, shape, and colore"
5/28/2018,5/27/2018,CA, US,"{td} UFO appeared about at a 75 deg angle from the horizon. It was much larger in size upon entering into the atmosphere and projected smoothly, but somewhat quickly at a 45 deg angle towards the ocean as it go smaller in size. Did not make a splash"
5/26/2018,5/26/2018,Santa Rosa, CA,{rjl} Have no dreams of last night. Marks on my arm when I noticed this afternoon
5/25/2018,5/24/2018,El Dorado Hills, CA,"{rjl} Large, bright star-type object, steady in brightness, on a straight, rapid, LOW path across the sky suddenly turned off after a few seconds"
5/22/2018,5/22/2018,CA, US,{rjl} My report dissapeared
5/22/2018,5/20/2018,Mendota, CA,{rjl} White Owl & UFO
5/21/2018,5/21/2018,Redlands, CA,"{rjl} Witnessed tetrahedron shaped craft approximately 15,000 feet move slowly West to East stop then go back West and disappear."
5/21/2018,5/7/2018,Barstow, CA,{rjl} Riding my motorcycle taking pictures. This was shot was port side.
5/21/2018,5/10/2018,Mariposa, CA,{rjl} Riding my motorcyle taking pictures. This was shot facing backwards while moving at 35mph
5/20/2018,5/20/2018,Victorville, CA,"{rjl} Star-like, then briefly lit up in expanded orngish glow when accelerated."
5/19/2018,5/13/2018,San Jacinto , CA,{cak} Translucent spherical orb with three lights in it.
5/16/2018,5/16/2018,Salinas, CA,{cak] Triangular shape with between 7 and 9 red lights over the edges
5/14/2018,5/14/2018,Redwood city, CA,{cak} Noticed object up high hovering took 2 pictures with cell normal and max zoom.
5/14/2018,5/13/2018,Oroville, CA,{cak} 3 lights in a row and became 1 . Then seemed like it started to fly away at an arc.
5/12/2018,5/11/2018,Pixley, CA,{td} Hard to define shape but very easy to notice
5/9/2018,5/8/2018,Ventura, CA,{td} We observed a triangular shape crafts going from west to east at approximately 9:15 p.m. May 8th 2018
5/9/2018,5/8/2018,Santa Rosa, CA,"{td} Saw orange light in sky for 30+ min then it moved got closer, decended and saw a triangle with lights"
5/8/2018,5/7/2018,Palm Springs, CA,{td} I sit on my balcony at night and watch the Stars and I was laying there in my 0 gravity chair and there it was
5/8/2018,5/5/2018,Romoland, CA,"(td} Got real bright then exploded and glowing debril showered under it.like it's iuter she'll blew off,like fireworks,eventually gained altitude after roaming around area"
5/8/2018,5/7/2018,Trabuco Canyon, CA,{td} I saw something white in the sky...
5/6/2018,5/6/2018,CORONA, CA,{td} FIRST NOTICED A LARGE ORANGE/RED LIGHT AROUND 1;45 A.M. RIGHT UNDER THE BIG DIPPER
5/6/2018,5/5/2018,Burbank, CA,"{td} Mylar type object, 8 flat sides, metallic, moving at approximately 100 mph"
5/5/2018,5/4/2018,San diego, CA,{jpg} Hot tube looking at sky. Tube was not running. Second time in a year seeing this type of object.
5/4/2018,5/3/2018,Costa Mesa, CA,{jpg} Three orbs flying fast over Costa Mesa CA
5/4/2018,5/3/2018,LaMesa, CA,{jpg} Moonless night sky boomerang object
5/2/2018,5/2/2018,santa rosa, CA,{jpg} the light that brought me a message
12/27/2018,6/28/2018,Del Mar, CA,{tjd} Took pictures at San Diego county fair and the pictures caught some interesting entities in the sky.
11/7/2018,6/3/2018,CA, US,{jpg} they have been coming to this building and i can photograph them.
10/2/2018,6/28/2018,Napa, CA,"{jpg} Orb pulsating blue lite, moving erratically around sky. I have a 30 second video"
8/15/2018,6/10/2018,Davis, CA,"{cak} Let my dog out to pee, and as I stepped outside something caught my. I looked up, and the orb shot down at an angle! I lost sight of the orb behind a tree line. This is my third UFO sighting but the first I have reported."
8/5/2018,6/28/2018,Palmdale, CA,"{jpg} Four or Five white glowing objects, not moving, then dissappeared one by one"
7/14/2018,6/18/2018,Lake Isabella, CA,"{jpg} I missed my turn and began heading up HWY 178 in the weong direction. After approx 4 miles, I turned and headed back towards the lake. I noted two stars, or what I thought were stars. One just beneath the other. The lwo"
7/13/2018,6/30/2018,Newbury Park, CA,"{jpg} Multiple orbs seen over Newbury Park, CA"
7/10/2018,6/23/2018,Redwood City, CA,"{jpg} I took a long exposure photo; over 30 seconds, it appeared, went in a line, then disappeared."
7/6/2018,6/23/2018,Rancho Cordova, CA,{dr}observed group of lights while traveling E on Hwy 50
7/4/2018,6/28/2018,DelMar, CA,"{dr}I was taking pictures of the full moon and in two pictures green & blue entities appear, i took more pictures to try and debunk it but the lights were gone in a split second"
7/1/2018,6/27/2018,Citrus heights, CA,{dr}Watch for about an hour changes colors flashed brite light in middle haging legs changed colors
6/29/2018,6/20/2018,Aptos, CA,"{td} Very shiny cylinder/rectangle, 1/2 size of jet, clear cloudless sky, heading west. Lasted a couple of minutes then disappeared. A few more minutes, it reappeared, heading west for a few short seconds then disappeared with a burst of light in front."
6/27/2018,6/26/2018,Pleasanton, CA,{td} White stationary object with minor red and green lights viewed from building. Began making abrupt movements from spot to spot with extreme acceleration and deceleration. Continued observation until obscured by trees.
6/27/2018,6/23/2018,Oakdale, CA,{td} Large ball of flame first move at a high rate of speed then stopped and started hovering
6/26/2018,6/24/2018,Los Angeles, CA,{td} Two different objects passed in front of the moon. Each going a different direction
6/26/2018,6/25/2018,San jose, CA,"{td} Was a Brite light, in shape of circle looked like a portal opening and closed.with a loud 3 second delay of a boom"
6/25/2018,6/21/2018,Sunnyvale, CA,"{td] The object moved very fast, it was very bright and many bright light arranged in square shape"
6/24/2018,6/22/2018,CA, US,"{td} Stars that change direction, flash randomly and hover for long periods of time."
6/24/2018,6/23/2018,Los Angeles, CA,{td} Looked like a twinkling metallic star. Would get bright then disappear. a BUNch of people saw it. i am including a
6/23/2018,6/22/2018,Bakersfield, CA,{rjl} Light moving very fast. Too fast for a satellite or aircraft
6/22/2018,6/22/2018,CA, US,{rjl} bright flash in sky followed by air purifier motor going out for split 2nd Burst of bright light.
6/21/2018,6/21/2018,Moreno Valley, CA,"{rjl} Observed lights in morning Sky, very High maybe 7 or 8 miles High, moving very Slow assumed lights belong to some type of object."
6/19/2018,6/13/2018,Fairfield, CA,"{rjl} Bright neon green circle with a tail, decended in an angle at jet like speed"
6/18/2018,6/17/2018,Stockton, CA,{rjl} Noticed 11pm moving sharply like dancing. Hit it with green lazer immediately shown green. On object there green lighf came on wow
