,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
,,9:16PM,,,,D49339B43B564DDBBF8CEE1677DABBB2.jpeg
,,,,,,6B25677D5E0E43F99F9DD90837FC1362.jpeg
36,2/5/2018,2/3/2018,{jpg} thought I was looking at a flock of birds untill they swooped back around and made geometric patterns and changed colors,"wildomar, CA, US",,
,,12:00AM,,,,
1,4/13/2018,2/25/2018,{td} I was working then I saw the object and start to film it with my cell phone.,"Elk Grove, CA, US",,20180225173326.mp4
,,5:33PM,,,,
2,3/16/2018,2/16/2018,{cak} seen a stralike object in the sky outside my apt. and filmed it.,"CA, US",,2.16.18.friday.1900hrs.AVI
,,12:00AM,,,,
3,3/11/2018,2/26/2018,{cak} There was a Saturn like disc emitting a greenish white light as it hovered.,"Wilmington, CA, US",,3C267D7CA33841658383676EB0D2D642.jpeg
,,3:47PM,,,,A731953E367B4A45AF6E2ECD17ABAE25.jpeg
,,,,,,BF0F17008175486C8515D4A7C98B574B.MOV
4,2/28/2018,2/18/2018,{td}Metalic like sphere size of an exercising ballon maybe 3ft on diameter,"Pasadena, CA, US",,
,,3:20PM,,,,
5,2/27/2018,2/25/2018,"{td}50+ craft shaped like bird i thought, it seemed wings were shifting and they were going in one direction with some of them going side to side","rancho cordova, CA, US",,
,,12:22PM,,,,
6,2/25/2018,2/22/2018,"{td}Captured during weather shot in Trinidad, CA.","Trinidad , CA, US",,
,,3:22PM,,,,
7,2/25/2018,2/24/2018,{td}Was outside working on my car for a couple houple hours..finished up for the night and began to atargaze with my dog ....i noticed the object and thought i was mistaken...once i realised thia was real i screamed for my girlfriend she came outside,"Hawthorne, CA, US",,
,,9:34PM,,,,
8,2/24/2018,2/24/2018,{rjl} explosion and then white chem trail descending downward and west over golden gate,"san francisco, CA, US",,
,,6:00PM,,,,
9,2/21/2018,2/20/2018,{rjl} Two Spheres in formation sliding very slowly eastward for 1-2 mins and faded,"Laguna Beach, CA, US",,
,,7:15PM,,,,
10,2/21/2018,2/21/2018,{rjl} Almost shadow like with two very bright blue lights on each side. Had sharp box like features.,"Sacramento, CA, US",,
,,12:00AM,,,,
11,2/20/2018,2/20/2018,"{rjl} 5 fireballs appeared in sky, then one by one they slowly disappeared","Laguna Beach, CA, US",,71AD1C141FE2430B9441E85BB27B1E2B.MOV
,,7:30PM,,,,
12,2/19/2018,2/17/2018,{rjl} Two Bright Lights Hover then Fade Out,"Borrego Springs, CA, US",,
,,8:30AM,,,,
13,2/19/2018,2/19/2018,{rjl} Aliens,"San Diego, CA, US",,
,,11:13AM,,,,
14,2/19/2018,2/18/2018,{rjl} silver object,"RanchoSanta Margarita, CA, US",,4257891orig.png
,,12:00AM,,,,
15,2/17/2018,2/16/2018,{cak} I see this almost nightly since 1-10-18,"Emeryville, CA, US",,trim.2071F23A58C54EF4A8D3FBE2CF3E4966.MOV
,,12:00AM,,,,
1,9/5/2018,3/5/2018,{jpg} White orb floating below clouds. Stationary and then starts moving in southwesterly direction.,"Los Angeles, CA, US",,IMG0499.m4v
,,4:11PM,,,,IMG0500.m4v
,,,,,,IMG0504.m4v
,,,,,,IMG0505.m4v
,,,,,,IMG0506.m4v
,,,,,,IMG0507.m4v
2,7/8/2018,3/10/2018,{jpg} Glowing round balls dancing in the sky at dusk,"La Quinta , CA, US",,
,,12:00AM,,,,
3,4/23/2018,3/6/2018,"{rjl} Bright red orb, sphere in shape above a home.","Pomona, CA, US",,
,,10:02PM,,,,
4,4/15/2018,3/26/2018,{cak} explosion so loud we thought a car hit our house.,"San Jose, CA, US",,
,,12:00AM,,,,
5,4/13/2018,3/25/2018,{td} Please look at pictures. I am very busy,"Newport Beach, CA, US",,IMG2505.JPG
,,8:36AM,,,,IMG2506.JPG
,,,,,,IMG2507.JPG
6,3/30/2018,3/30/2018,{td} Very fluid object with light keeping a steady pace zoomed above the valley near my house,"Oakland, CA, US",,
,,12:00AM,,,,
