City ST,City,ST,State,Lat,Lng,,,,
Agoura CA,Agoura,CA,California,34.1431,-118.7379,,,,
Agoura Hills CA,Agoura Hills,CA,California,34.151,-118.7608,,,,
Agra OK,Agra,OK,Oklahoma,35.895,-96.8702,,,,
Agra KS,Agra,KS,Kansas,39.7616,-99.1195,,,,
Agricola KS,Agricola,KS,Kansas,38.4195,-95.535,,,,
Agricola MS,Agricola,MS,Mississippi,30.8077,-88.52,,,,
Agua Dulce TX,Agua Dulce,TX,Texas,27.7827,-97.9098,,,,
Agua Dulce CA,Agua Dulce,CA,California,34.5044,-118.316,,,,
Agua Fria NM,Agua Fria,NM,New Mexico,35.6615,-106.0148,,,,
Aguanga CA,Aguanga,CA,California,33.4522,-116.8555,,,,
Aguila AZ,Aguila,AZ,Arizona,33.9376,-113.1665,,,,
Aguilar CO,Aguilar,CO,Colorado,37.4036,-104.655,,,,
Aguilares TX,Aguilares,TX,Texas,27.4516,-99.0933,,,,
Ahloso OK,Ahloso,OK,Oklahoma,34.7351,-96.6375,,,,
Ahmeek MI,Ahmeek,MI,Michigan,47.2984,-88.3971,,,,
Ahoskie NC,Ahoskie,NC,North Carolina,36.2842,-76.9899,,,,
Ahtanum WA,Ahtanum,WA,Washington,46.5581,-120.6058,,,,
Ahwahnee CA,Ahwahnee,CA,California,37.3653,-119.7194,,,,
Aid OH,Aid,OH,Ohio,38.5962,-82.4932,,,,
Aiken TX,Aiken,TX,Texas,34.1423,-101.5257,,,,
Aiken SC,Aiken,SC,South Carolina,33.5303,-81.7271,,,,
Ailey GA,Ailey,GA,Georgia,32.1882,-82.5699,,,,
Ainsworth NE,Ainsworth,NE,Nebraska,42.5484,-99.8575,,,,
Ainsworth IN,Ainsworth,IN,Indiana,41.4878,-87.2586,,,,
Ainsworth IA,Ainsworth,IA,Iowa,41.2901,-91.5545,,,,
Airmont NY,Airmont,NY,New York,41.0994,-74.0989,,,,
Airport Drive MO,Airport Drive,MO,Missouri,37.1405,-94.5162,,,,
Airport Road Addition TX,Airport Road Addition,TX,Texas,27.219,-98.0981,,,,
Airway Heights WA,Airway Heights,WA,Washington,47.6464,-117.5802,,,,
Aitkin MN,Aitkin,MN,Minnesota,46.5295,-93.7059,,,,
Ajo AZ,Ajo,AZ,Arizona,32.3923,-112.8839,,,,
Ak Chin AZ,Ak Chin,AZ,Arizona,32.2872,-112.0091,,,,
Akaska SD,Akaska,SD,South Dakota,45.331,-100.1209,,,,
Ak-Chin Village AZ,Ak-Chin Village,AZ,Arizona,33.0197,-112.0808,,,,
Akeley MN,Akeley,MN,Minnesota,47.0005,-94.7279,,,,
Akin IL,Akin,IL,Illinois,37.9881,-88.7476,,,,
Akins OK,Akins,OK,Oklahoma,35.5042,-94.6698,,,,
Akra ND,Akra,ND,North Dakota,48.7753,-97.727,,,,
Akron NY,Akron,NY,New York,43.0179,-78.4978,,,,
Akron PA,Akron,PA,Pennsylvania,40.158,-76.2032,,,,
Akron CO,Akron,CO,Colorado,40.1644,-103.2206,,,,
Akron AL,Akron,AL,Alabama,32.8785,-87.7429,,,,
Akron IN,Akron,IN,Indiana,41.0389,-86.0249,,,,
Akron IA,Akron,IA,Iowa,42.8268,-96.5571,,,,
Akron OH,Akron,OH,Ohio,41.0802,-81.5219,,,,
Akron MI,Akron,MI,Michigan,43.5667,-83.5143,,,,
Akron KS,Akron,KS,Kansas,37.3517,-97.015,,,,
Alabam AR,Alabam,AR,Arkansas,36.1526,-93.6813,,,,
Alabaster AL,Alabaster,AL,Alabama,33.2197,-86.8233,,,,
Alabaster MI,Alabaster,MI,Michigan,44.1864,-83.558,,,,
Alachua FL,Alachua,FL,Florida,29.7779,-82.4827,,,,
Aladdin WY,Aladdin,WY,Wyoming,44.64,-104.1836,,,,
Aladdin PA,Aladdin,PA,Pennsylvania,40.6917,-79.6567,,,,
Alafaya FL,Alafaya,FL,Florida,28.5183,-81.178,,,,
Alamance NC,Alamance,NC,North Carolina,36.0283,-79.4894,,,,
Alameda NM,Alameda,NM,New Mexico,35.1867,-106.6181,,,,
Alameda CA,Alameda,CA,California,37.767,-122.2673,,,,
Alamillo NM,Alamillo,NM,New Mexico,34.2519,-106.9158,,,,
Alamo NM,Alamo,NM,New Mexico,34.4184,-107.5125,,,,
