state_long,state_short,city_state,mj_legal,lat,long,sighting_date,short_description,,
California,CA,Aptos CA,Yes,36.9912,-121.8928,8/2/2018,"{jpg} White blinking object emitting brilliant white beam, high in sky, early morning",,
Florida,FL,Arcadia FL,Yes,27.2213,-81.8586,12/15/2018,{rjl} Lighting strike above me and sky lite up there it was right in front of me approx. 500 ft. Saw a large object glowing a blueish shinning color. 90 degrees above the horizon.SE of me.,,
Wisconsin,WI,Arena WI,No,43.1637,-89.9101,5/1/2018,{jpg} Working a field for planting.,,
Arkansas,AR,Arkadelphia AR,Yes,34.1245,-93.0719,1/22/2018,{jpg} Bright reflective UFO,,
Oklahoma,OK,Arkoma OK,Yes,35.3374,-94.4438,5/21/2018,"{rjl} Happened over trees where Y St of Fort Smith, AR meets Main St and State Line Road of Arkoma, OK",,
Tennessee,TN,Arlington TN,No,35.2595,-89.668,6/11/2018,"{cak} a Blue pulsating light coming from the south, stopped, then a flash of red/orange, changed direction heading back south on the original path, then another flash of red/orange then blue pulsating",,
Texas,TX,Arlington TX,No,32.6998,-97.1251,10/11/2018,{tjd} 5 objects going E to w in mostly straight line. 2-3 objects on same course followed. Then 1 following,,
Vermont,VT,Arlington VT,Yes,43.0691,-73.1475,11/23/2018,{rjl} Star like light in sky triangular did not move for over 45 minutes,,
Washington,WA,Arlington WA,Yes,48.1698,-122.144,5/3/2018,"{td! was sitting on my couch where I normally sit in the evening when I saw out my living room window a green light that sped across my line of sight, having never seen such a thing I wrote it down....we where watching the opposition with Jordan clapper",,
Washington,WA,Arlington WA,Yes,48.1698,-122.144,7/26/2018,{cak} Was as bright as Venus looked like Venus moved 1/4 speed of satellite watch15 seconds disappeared did not dim.,,
Colorado,CO,Arvada CO,Yes,39.8321,-105.1508,3/24/2018,{td} Was taking pictures of many jet streams and saw in photo later,,
Colorado,CO,Arvada CO,Yes,39.8321,-105.1508,5/1/2018,{jpg} was so mysterious don't really know when it happened,,
Colorado,CO,Arvada CO,Yes,39.8321,-105.1508,7/15/2018,"{td} Looking at stars last night one seemed to explode in white then yellow flash, emitting orb or beam.",,
Colorado,CO,Arvada CO,Yes,39.8321,-105.1508,8/19/2018,{rjl} human being light being shown light into my room,,
Iowa,IA,Asbury IA,No,42.5118,-90.7799,3/27/2018,{td} Row of red lights that hovered above a tree and then got closer,,
Virginia,VA,Ashburn VA,No,39.0302,-77.4712,3/15/2018,{cak} Was taking pictures of work site caught UFO and frame didn't see until after the fact,,
Virginia,VA,Ashburn VA,No,39.0302,-77.4712,4/12/2018,"{td} Took a picture of myself with the sun behind me, I noticed the object was in one frame.",,
Virginia,VA,Ashburn VA,No,39.0302,-77.4712,12/5/2018,"{jpg} 2nd time in less then year seen in same area, in addition saw 2 new shapes in the north of original",,
North Carolina,NC,Asheboro NC,No,35.7159,-79.8128,2/23/2018,"{cak} spotted in sky while standing on my back deck. was looking at birds in the lake with binoculars when we saw the ufo in the sky. it split in half while hovering, then vanished, then reappeared while moving farther south.",,
North Carolina,NC,Asheville NC,No,35.5703,-82.5536,7/19/2018,{td} Photo taken of three to four flying orbs,,
North Carolina,NC,Asheville NC,No,35.5703,-82.5536,10/28/2018,{tjd} Hovering silvery object miles in air (clear blue sky); suddenly moved in large smooth pattern after 7 minutes,,
North Carolina,NC,Asheville NC,No,35.5703,-82.5536,11/25/2018,{tjd} Observed craft flying over tree tops in a SW direction till it was out of sight,,
Kentucky,KY,Ashland KY,No,38.4593,-82.6449,1/10/2018,{cak} Witnessed a rotating dis with lighted windows,,
Kentucky,KY,Ashland KY,No,38.4593,-82.6449,7/29/2018,"{rjl} 2 separate Cigar shaped,1 bigger then the other, hovering before they left, I have pics",,
Oregon,OR,Ashland OR,Yes,42.1905,-122.6992,11/18/2018,"{rjl} Looked like a star, but sky to bright for stars. It teleported away after looking away",,
Ohio,OH,Ashtabula OH,Yes,41.8805,-80.7984,6/16/2018,{cak} They (2) were glowing blue/white lights shining right above the clouds going in circles really fast. Went over my car,,
Ohio,OH,Ashtabula OH,Yes,41.8805,-80.7984,8/11/2018,{jpg} My uncle was sitting outside on a calm night and I went out and recorded.,,
Ohio,OH,Ashville OH,Yes,39.7248,-82.9581,11/7/2018,{cak} Orangish round lights sighted that came on dimmed another came one and a 3rd,,
Colorado,CO,ASPEN CO,Yes,39.1948,-106.837,9/13/2018,"{tjd} A craft hovered above a lake. It ascended a bit, changed course, then vanished.",,
Florida,FL,Astor FL,Yes,29.1635,-81.5349,1/14/2018,"{rjl} I awoke to a bright beam of light outside, I opened the door to look up, as I thought it might be a helicopter. When I stepped out I followed the beam and looked behind me, and it came from way above the clouds, it was almost like a enormous",,
