,Date Submitted,Date of Sighting,City,ST,Short Description
2921,10/19/2018,10/19/2018,Littleton, CO,"{rjl} Observed coming from the SW turned over front range, hovered, changed direction to North disappeared"
2922,10/21/2018,10/19/2018,Nampa, ID,"{cak} While I was driving west ,three objects at 10 o'clock from me emitting light in afternoon sky."
2923,10/19/2018,10/19/2018,Lafayette, IN,{rjl} VERY LOUD SOUND COMING FROM BLACK OVAL
2924,10/19/2018,10/19/2018,Prairie City, IN,"{rjl} Sighting From I-70 Near Brazil, IN Midnight Oct. 19, 2018"
2925,10/20/2018,10/19/2018,Grand Rapids, MI,{rjl} The object moved very quickly and the back right light was moving the other 3 were stationary
2926,10/22/2018,10/19/2018,Plains, MT,{cak} House is 3 stories - daughter from Alaska was on 2nd floor bedroom and the lights lit up bedroom she went to window and saw it in the yard. 1230 midnight.
2927,10/19/2018,10/19/2018,Corpus Christi , TX,{rjl} Strange unexplainable light
2928,10/24/2018,10/20/2018,Highland Home, AL,{cak} In sight passing between trees. A wide gap when first seen then through trees as it moved from left to right.
2929,10/22/2018,10/20/2018,blythe, CA,"{cak} looked like a missile, no sound, no markings, no wings or tail fins"
2930,10/21/2018,10/20/2018,salton sea , CA,{cak} saw flying object go from north to south in plain daylight with a friend
2931,11/4/2018,10/20/2018,Sherman Oaks, CA,"{jpg} in park next to my house blue orb moving at 300mph flew over in straight line then cloaked invisible, chased by police helicopter 1/8 mile behind it following it"
2932,10/20/2018,10/20/2018,Miami, FL,{rjl} Craft with 6-7 lights also reflecting the sun high up in the sky stationary but spinning then disappear
2933,10/23/2018,10/20/2018,Olathe, KS,{cak} two separate boomerang shaped objects looked like wispy clouds with distinct outlines. one closer and one farther up. directional with consistent speeds
2934,10/24/2018,10/20/2018,Kansas City , MO,{cak} round orange light
2935,10/30/2018,10/20/2018,Cape May, NJ,{tjd} At my kids soccer game observed by many people
2936,10/26/2018,10/20/2018,Monroe, NJ,{cak} It's like a flying or that came out of the ground and crossed my yard
2937,10/28/2018,10/20/2018,Lake Tahoe, NV,{tjd} Lake Tahoe vacation
2938,10/20/2018,10/20/2018,Dayton, OH,{rjl} White egg shaped object flying high over head.
2939,10/21/2018,10/20/2018,Broken Arrow, OK,"{cak} high altitude wingless craft that moved to south appeared to turn and morph into glowing sphere that looked like a planet coming toward me, laser streak came from north captured my attention"
2940,10/23/2018,10/20/2018,North Plains, OR,{cak} it touch me with sound a purr like vibration
2941,10/21/2018,10/20/2018,Tremonton, UT,"{cak} Walked outside, noticed a green glowing object coming from the south flying low, followed by a low flying fighter jet."
2942,10/20/2018,10/20/2018,Byhalia, MS,[rjl} Picture from outdoor hunting camera
2943,10/21/2018,10/21/2018,Phoenix, AZ,{cak} Black bottoms above 20k ft heading west
2944,10/22/2018,10/21/2018,Menifee, CA,{tjd} hovered brilliant light decreased moved slowly 3 or 4 lights across rectangle or boomerang shape steady low sound
2945,10/21/2018,10/21/2018,San Diego, CA,{cak} triangle bottom 3 white circle not lit but visible flying low constant speed no sound
2946,10/21/2018,10/21/2018,Bokeelia, FL,{cak} Orb approached jet on landing path to ft Myers airport followed for 1 mile and then backed off and flew off
2947,10/23/2018,10/21/2018,Marietta, GA,"{cak} Shiny silver metallic noticed like light hit it & beam of light came off, hovered moved slowly then disappeared right I front of my eyes5 minutes after it disappeared military jets showed up then black helicopter"
2948,10/23/2018,10/21/2018,Lake Charles, LA,{cak} Per Case # 95795 We also saw and filmed it.
2949,10/22/2018,10/21/2018,Lake Charles, LA,{cak} Greyish colored object hovering in the sky.
2950,10/26/2018,10/21/2018,Duluth, MN,"{cak} I didn't see it myself, but noticed a UFO-like object in a photo taken while out hiking"
2951,10/21/2018,10/21/2018,North Bergen, NJ,"{cak} I was looking out my window and saw a thick disc like object hovering in the air, with glowing green circles around it, flying towards the east."
2952,10/21/2018,10/21/2018,Wayne , NJ,{cak} Large Diamond shape with lights on the bottom
2953,10/28/2018,10/21/2018,PORTLAND, OR,"{tjd} Witnessed a pulsating multi colored light that was hovering then would shift left or down rapidly, Then it would slowly start ascending, slowly to the south. Through binoculars & saw a complete spectrum of rapid pulsating lights."
2954,10/21/2018,10/21/2018,Chester Springs, PA,{cak} PA Turnpike 76 floating lights
2955,10/22/2018,10/21/2018,Leander, TX,"{cak} object near Moon, not seen with naked eye, ONLY on multiple (friends) phones from different parts in town, not seen with night vision"
2956,10/21/2018,10/21/2018,The Woodlands, TX,"{cak} Triangular shape, very large,, white/whitish blue lights - 3 on each side, in late night sky to the NW as we were driving West on Woodlands, just crossed over Woodloch Forest"
2957,10/24/2018,10/21/2018,Manassas, VA,{cak} I saw a ufo and an alien.
2958,10/21/2018,10/21/2018,Belleville, WI,{cak} Saw very metallic object that remained stationary over corn field at helicopter like altitude. Become rapidly thinner and was gone into thin air.
2959,10/28/2018,10/22/2018,Maricopa, AZ,{tjd} 8 UFO'S in a six minute span NO SATELLITES verified through Stellarium
2960,10/31/2018,10/22/2018,Temecula, CA,"{tjd} Driving home on the 15 after the truck weigh station, going down hill, I saw a bright silver metallic disc slow moving east then stopped, then disappeared."
2961,10/23/2018,10/22/2018,Colorado Springs, CO,"{cak} Object appeared and remained in the sky for over an hour, abrupt disappearance. Moved slowly due West"
2962,10/22/2018,10/22/2018,Fort Collins, CO,{cak} Appeared like a chrome metal reflecting object
2963,10/22/2018,10/22/2018,Meriden, CT,{cak} UFO appeared as a bright red-orange glowing light South of my location and followed a straight path Northeast.
2964,10/23/2018,10/22/2018,Louisville, KY,{cak} I was driving down cane run road when I saw what looked like a rope light flying along the road
2965,10/22/2018,10/22/2018,Braintree, MA,"{cak} Shape of a VR headset, 2 big blue lights, grayish white aura, flashed as moving up. Huge"
2966,10/23/2018,10/22/2018,Grand Blanc, MI,{cak} Cigar shaped craft with three stationary lights on its side and multiple color changing lights in between those.
2967,10/23/2018,10/22/2018,Glencoe, MN,"{cak} saucer shaped spotted hovering in sky, then vanished"
2968,10/23/2018,10/22/2018,Pass Christian, MS,{cak} Flying formation
2969,10/22/2018,10/22/2018,Ruth, NV,{cak} Flying from Atlanta to San Jose. Opened window cover and saw a large circular formation.
2970,10/25/2018,10/22/2018,SEARCH LIGHT, NV,{cak} IT WAS A CLEAR DAY ON HIGHWAY 95 GOING SOUTH WHEN I SAW A VERY LARGE SHADOW COVERING THE ROAD AND SOME OF THE SURROUNDING AREA . WHEN I LOOKED UP NOTHING WAS THERE. THE SUN WAS HIGH IN THE SKY BUT I THOUGHT I SAW A BLAST FURNACE OVER THE SHADOW.
2971,10/22/2018,10/22/2018,Wrightsville , PA,{cak} It looked like the sky was on fire. Lost sight for a while when driving
2972,10/23/2018,10/22/2018,wills point, TX,{cak} There were so many almost surrounding us in our car. one directly above us. several would disappear and then come right back
2973,10/22/2018,10/22/2018,Burbank, CA,"{cak} non bird or balloon, near Burbank Airport, 9 orbs in group, 1 hovering stationary... I HAVE VIDEO."
2974,10/24/2018,10/23/2018,El Dorado, CA,{cak} Took picture of Chemtrails in neighborhood and caught weird object in photo
2975,10/24/2018,10/23/2018,Indio, CA,{cak} Elliptical shape. Green blue glow from center dimming to gray at its perimeter. Fast and no sound.
2976,10/24/2018,10/23/2018,Santa Ana, CA,"{cak} Binoculars looking at moon, black round object moving slowly to the right above the moon to SW."
2977,10/23/2018,10/23/2018,Fort Collins, CO,"{cak} Dim lights v shape glided in straight path over campus heading south. About 7 individual. Lights, glowing dim. Massive wingspan, not too high above ground. Saw shadow pass in front of stars, hard to make out but visible. Watched for 10 sec before it was"
2978,10/28/2018,10/23/2018,Alyse Beach, FL,{tjd} My wife and I were biking west to Alyse Beach along 30A from dinner @ Rosemary and saw two different colored orbs
2979,10/23/2018,10/23/2018,Largo, FL,{cak} I saw a triangular shaped object with four lights. It was completely silent traveling across the sky.
2980,10/25/2018,10/23/2018,Fort Wayne, IN,"{cak} Small, bright object streaking across the night sky, accompanied by a cracking sound."
2981,10/24/2018,10/23/2018,Beattyville , KY,{cak} Balls of light that change shape and pulsate. Hover change direction follow ridge lines. See on a regular basis.
2982,10/26/2018,10/23/2018,Harrodsburg, KY,{cak} The sound was a beautiful harmony. It drew me outside. It was loud.
2983,10/26/2018,10/23/2018,Ypsilanti, MI,{cak} Large black triangle with bright white lights on each point at the bottom of the craft. Flying low a slow over my apartment building.
2984,10/25/2018,10/23/2018,Billings, MT,"{cak} White disk looked like cloud at first but then rotated, didn't spin"
2985,10/23/2018,10/23/2018,Autryville , NC,{cak} Helicopter tailing non lighted aircraft
2986,10/23/2018,10/23/2018,Winston-Salem, NC,{cak} 4 very large objects with bright flashing lights going in different directions moving slow
2987,10/25/2018,10/23/2018,Cleveland, OH,{cak} Intense glowing orb viewed on nighttime flight from Iceland to Ohio
2988,10/23/2018,10/23/2018,California, PA,{cak} silver-ish-white-glowing disk
2989,10/23/2018,10/23/2018,Manheim, PA,{cak} Observed 2 silvery-white objects high in sky (over 2 miles) moving slowly west
2990,10/24/2018,10/24/2018,Volcano, CA,{cak} Danced a bit then vanished
2991,10/25/2018,10/24/2018,Washington, DC,"{cak} Bright white orb like crafts, with trails behind them. One changed directions"
2992,10/26/2018,10/24/2018,Nokomis, FL,"{cak} I did not see or witness the UFO event. I was taking photos of the sunset and when I looked at the photos, in two of them, the UFO-like object appeared."
2993,10/27/2018,10/24/2018,Davenport , IA,{cak} It was a gold pulsating light moving really fast. Included video
2994,11/8/2018,10/24/2018,Rockford, IL,{jpg} I saw what I thought were two bright strs in the southern sky shortly after sunset. ne of them began to move away from the other. It then suddenly blinked out.
2995,10/24/2018,10/24/2018,Raeford , NC,"{cak} Outside smoking with fiancé, observed VERY bright light hovering, dropped 4-6 lights like tears fell with trail, then stopped & hovered, main light circled and all disappeared one by one. See a lot around here. Military in family.  special project"
2996,10/27/2018,10/24/2018,Ada, OH,{cak} Q/C testing a new Thermal Hybrid PTZ Camera during night ops. I turned the primary laser IR Illuminator off and found this object in the sky seemingly doing a loop and then a decent while slightly changing its trajectory an couple times.
2997,10/24/2018,10/24/2018,Hugo, OK,{cak} Husband noticed large rectangular objects in sky then ascend
2998,10/25/2018,10/24/2018,KILGORE, TX,{cak} I SAW WHAT LOOKED LIKE A RAINBOW AND TOOK PICTURES
2999,10/29/2018,10/24/2018,Green river, UT,"{tjd} Noticed in window. Driving stopped nothing there, triangle with notch to read white lights one in front one year shape did not have sharp edges to triangle 4 seconds."
3000,10/24/2018,10/24/2018,Virginia Beach, VA,{cak} When I lay in bed I see blueish/green and purple snow in the air. a lot like television snow.
3001,10/25/2018,10/24/2018,Oso, WA,{cak} I looked up and saw a low flying object in shape of crescent it was traveling at a high rate of speed and made a humming noise
3002,10/24/2018,10/24/2018,Martinsburg, WV,{cak} large white sphere near moon.. HUGE
3003,11/4/2018,10/25/2018,Casa Grande, AZ,{jpg} bright pulsing reddish orange lights popped on one at a time in a row for 4 or 5 minutes then went out one at a time.
3004,11/5/2018,10/25/2018,Capitola , CA,"{jpg} A descending UFO appears to change forms during its flight: two rows of multiple orbs around a dark center, then very complex changes occur."
3005,10/26/2018,10/25/2018,Sunrise , FL,{cak} randomly saw the ufo spying on me seen it through my window so I looked out my window it disappear before I get to look at it. The ufo was 20 ft from my house. I woke up 5 am hearing a very loud bang on my Window. It open my door trying to attack
3006,10/25/2018,10/25/2018,Lancaster, NH,{cak} Driving south three lights appeared to east and slowly passed by to west sped up and ascended
3007,10/25/2018,10/25/2018,Hoosick, NY,{cak} Large red glow in the SW sky
3008,10/25/2018,10/25/2018,Montezuma, NY,{cak} An orb was hovering in the sky and then slowly ascended above the cloud line
3009,10/31/2018,10/25/2018,Dillies Bottom, OH,{tjd} Very large gray disk object moving very fast toward ground appeared and disappeared five times in straight line slowing each time it reappeared.
3010,10/29/2018,10/25/2018,Mechanicsburg, PA,{tjd} While watching crows circling I noticed a very slow moving object the speed was much slower than an aircraft
3011,1/22/2019,10/26/2018,Citrus Heights , CA,"{jpg} Exited my car, felt a eyes on the back of my head. Turned to walk toward store, looked up, saw the ufo"
3012,11/2/2018,10/26/2018,San Francisco, CA,{tjd} I saw it in the picture after I took it.
3013,11/5/2018,10/26/2018,Granby, CO,"{jpg} Sphere over 4 feet in diameter, silent, broad daylight reflecting sunlight, Black in color passed into a cloud and out again on same course."
3014,10/26/2018,10/26/2018,Loveland, CO,"{cak} Very bright, slow moving object, up from horizon in west to east flight path"
3015,11/7/2018,10/26/2018,Wolcott, CT,{jpg} I came outside saw 3 sets of glowing whatever they are
3016,10/26/2018,10/26/2018,Jacksonville, FL,"{cak} Object appearing in corner of eye, traveling at speeds greater than Mach 1"
3017,11/18/2018,10/26/2018,Hutchinson , MN,{rjl} Boomerang transparent 3 lighter colored squares on each wing
3018,10/27/2018,10/26/2018,New York, NY,{cak} 5:58 AM Heading South about to turn Right to Head West. A Blue light came out of the North West heading South East. In 1 or 2 seconds it appeared then was gone. It was not a shooting star or a plane. It was moving way to fast.
3019,10/27/2018,10/26/2018,Akron, OH,{cak} Oval shape with structure line on top.
3020,10/26/2018,10/26/2018,Philadelphia, PA,"{cak} bright red orb that turned green then blue then red. hovered around, stood still for a while, then flew away quickly"
3021,10/30/2018,10/26/2018,Farmville, VA,{tjd} Bright Light Pulsating in a major rain storm
3022,10/29/2018,10/27/2018,Hot Springs, AR,"{tjd} Looked up in sky and thought airplane, but it wasn't moving and observed for maybe 10 minutes."
3023,11/1/2018,10/27/2018,Fresno, CA,{tjd} I witness an object flying that I immediately knew was not an airplane while I was at work Saturday morning October 27th 2018 I took a picture of the object and I will attach it to the report
3024,10/27/2018,10/27/2018,San Diego, CA,{tjd} Looked like a solid object that was hovering and then going in different directions. Left a fire like trail. Object disappeared within 3 minutes.
3025,10/30/2018,10/27/2018,Visalia , CA,{tjd} Took photo of vultures overhead. Looked cat phot later saw strange object.
3026,10/27/2018,10/27/2018,Sloan, NV,{tjd} Object appeared to be at FL30 or higher - over contrails of other jets. No emissions. Slow moving. I captured about 200 photos with a Nikon DSLR and zoom. Object seems crescent shaped.
3027,11/19/2018,10/28/2018,Sacramento , CA,{rjl} Triangular shaped UFO with 3 lights in each corner
3028,10/28/2018,10/28/2018,San Diego, CA,{tjd} Two reflective objects in sky over University City/Miramar area
3029,10/29/2018,10/28/2018,Panama City Beach , FL,{tjd} Was walking north towards truck. Noticed orange light in sky. Took to camera pictures tried one video but disappeared
3030,10/28/2018,10/28/2018,Park City, KS,{tjd} It may have been a spacecraft or ISS. Very bright in broad daylight.
3031,10/31/2018,10/28/2018,Asheville, NC,{tjd} Hovering silvery object miles in air (clear blue sky); suddenly moved in large smooth pattern after 7 minutes
3032,11/5/2018,10/28/2018,Hilton Head Island, SC,"{jpg} 2 clouds in a cloudless sky, clouds upside down mushroom then both changed shaped at the same time to almost identical shapes. Looked unnatural photos showed dark spots above clouds."
3033,11/2/2018,10/28/2018,Tullahoma, TN,{tjd} I was driving down a long straight road to my house that should have only taken me 15 minutes to get home I woke up 3 hours later just pulling into my driveway.
3034,10/30/2018,10/28/2018,Elsinore, UT,{tjd} This is overnight footage of the sky
3035,10/29/2018,10/28/2018,Clarksville, TN,"{tjd} Tic tac shaped object white in color, no propulsion, no insignia, while traveling behind another exact same object a half mile behind it. Also within 5 miles of fort Campbell"
3036,11/13/2018,10/29/2018,Big bear city, CA,{cak} 2 bright lights in close proximity....stationary for 15 sec then left area at super high speed leaving a trail
3037,10/29/2018,10/29/2018,Sandy Hook, CT,{tjd} A very high intensity light Traveling south west at an unknown altitude and speed. That continually gained altitude and disappeared
3038,10/29/2018,10/29/2018,Gardner, KS,{tjd} Solid greenish light appearing like a satellite taking up the rear of a cylinder shape outlined by solid dim red lights
3039,10/31/2018,10/29/2018,Bowling Green, KY,"tjd} Witnessed to bright circular balls of light interact with each other, circle each other at a great speed the new fly off in separate directions."
3040,11/8/2018,10/29/2018,Middletown, KY,{jpg} Reflective object rotating and changing direction
3041,10/29/2018,10/29/2018,Springfield, MA,{tjd} bright white light flickering at different speeds red light at times jolting in diff directions in diff directions diff directions small trail behind it
3042,10/29/2018,10/29/2018,Woodbury, MN,{tjd} It was made up of all triangles. Extremely Weird looking.
3043,10/29/2018,10/29/2018,Willard, MO,"{tjd} 2 white lights, cannot see object, one light was blinking and the other was constant solid white light"
3044,10/29/2018,10/29/2018,Allenstown, NH,{tjd} Noticed stationary light. Thought was plane. Didn't move at all for prolonged time. Viewed with binoculars. Saw blinking lights.
3045,11/29/2018,10/29/2018,Aumsville, OR,{tjd} THIS LOOKS LIKE A STAR THAT MOVES A LOT OF DIFFERENT DIRECTIONS IF SOMBODY WANTS TO SEE SOMTHING VERY STRANGE I WOULD SHOW UP IN A WEEK OR TWO FOR CLOUDS
3046,11/26/2018,10/30/2018,Sanford , FL,{tjd} Unknown entity in my house
3047,11/30/2018,10/30/2018,Houlton, ME,{tjd} I'm being watched. I have over 20 video documentation. Please help me
3048,12/4/2018,10/30/2018,Tecumseh, MI,{jpg} took dog out 2am Oct30/turned to go back in/ hovered about 2 meters above my roof (1 story home)/ stared at about 20 seconds/ shot off toward Lake Erie/
3049,10/31/2018,10/30/2018,Jackson, NJ,"{tjd} Was at a theme park and saw between the trees a large triangular object hovering there. Thought it was a large drone then realized the massive ominous size. It had no noise and was triangular, had blinking lights."
3050,10/30/2018,10/30/2018,Benton, OH,{tjd} Driving south on Route 14 from Benton to Salem. Large Cylinder hovering over road.
3051,10/30/2018,10/30/2018,Midwest city, OK,{tjd} I live near tinker airport. This was not a toy drone. I watch the sky. UFO.
3052,10/30/2018,10/30/2018,Lansdale, PA,"{tjd} Saw black craft far above plane. Craft moved erratically, changed direction and speeds."
3053,11/1/2018,10/30/2018,Okanogan, WA,{tjd} Doing yard work. I heard jets looked up .Did not know what they were. Saw two jets following 8 shining small objects lined up in a straight line. Lost site on horizon .day time.
3054,10/30/2018,10/30/2018,Slidell, LA,{tjd} Observed small disc with smoke contrails coming out of rear of each side
3055,11/2/2018,10/31/2018,Phoenix, AZ,{tjd} JELLYFISH-LIKE FORMING WITH A DIM LIGHT IN THE CENTER
3056,11/1/2018,10/31/2018,Los Osos-Baywood, CA,"{tjd} Appeared triangular due to extremely bright, pulsing lights - two red to red-orange top horizontally and one blue down below at a middle point"
3057,11/1/2018,10/31/2018,Gainesville, FL,{tjd} I saw a large triangular object flying and then descending to a treetop nearby Texas trailers on 441
3058,11/11/2018,10/31/2018,Catlettsburg, KY,{cak} moving cylinder
3059,11/1/2018,10/31/2018,Erie, MI,{tjd} Lights in tandem dimmed turned off then turned on
3060,10/31/2018,10/31/2018,Selma, NC,{tjd} Massive triangle hovered over my house
3061,12/12/2018,10/31/2018,Rachel, NV,"{cak} 12-15 star like lights that seemed to appear from nowhere, blinked at regular intervals, sometimes seeming to hover and sometimes moving straight (in unison)"
3062,11/2/2018,10/31/2018,Perkasie, PA,{tjd} Bright Red Orb in North Western Sky turn black then headed south heard report something landed in the ocean had to call
3063,11/6/2018,10/31/2018,Abilene , TX,{jpg} Just watch the video
3064,11/1/2018,10/31/2018,Abilene , TX,{tjd} I have been seeing these every night for almost a month now. Just check out my videos.
3065,11/3/2018,10/31/2018,Dawson, TX,{tjd} 2 bright lights one above the other staying the exact distance and horizontal movement
3066,11/8/2018,10/31/2018,Laredo, TX,{jpg} It hovered for a few minutes before I decided to record. Then it started moving along
3067,11/1/2018,11/1/2018,Anderson, CA,{tjd} An orange yellow light very high zig zagging going fast slow like how a bee fly's.
3068,12/21/2018,11/1/2018,Freeburg, IL,{rjl} Saw ufo on way home. Filmed and witnessed ufo disappear.
3069,11/1/2018,11/1/2018,Gardner, KS,{tjd} Bright light fell diagonally at a 45 degree angle over the street and train cars.
3070,11/2/2018,11/1/2018,Jacksonville, NC,"{tjdI saw something similar a few weeks ago, a green light hovering, and then just fell to the ground, I was expecting to hear a plane crashed or something, then this it was just sitting there in the sky, then it moved did like a half circle in the sky..."
3071,1/10/2019,11/1/2018,Dix Hills , NY,"{cak} I have been informed, by an unknown form of communication, that I am being mind controlled, as well as the subject of time manipulation. I continue to be in contact with an unknown presence, who remains in contact with me throughout my entire day."
3072,11/16/2018,11/1/2018,Bellefonte, PA,{cak} Reptilian or not this is real they are real and Bellefonte has had numerous tremors and a earthquake
3073,11/2/2018,11/1/2018,BURIEN, WA,{tjd} BF and I saw 5 very bright round lights in a horseshoe formation hovering. They def were not airplanes or street lights. We lost sight of them due to trees for 2 minutes then they had disappeared. They were so big we couldn't see how they did so.
3074,11/7/2018,11/1/2018,Lummi reservation, WA,{jpg} Water in bay began swirling then something moved in the water
3075,11/6/2018,11/2/2018,Bullhead City, AZ,{jpg} Assumed it was an object but saw no object just a soft blueish hue light flying on a path
3076,11/2/2018,11/2/2018,Yucaipa, CA,{tjd} Flash of light very bright gradual accent dimming
3077,11/3/2018,11/2/2018,Poplar Grove, IL,{tjd} Looked like a small round like cloud moving across sky at high speed. No other clouds were moving. Not a windy day.
3078,11/3/2018,11/2/2018,Grayson, KY,"{tjd} Ominous, honesty shocking"
3079,11/16/2018,11/2/2018,DENHAM SPRINGS , LA,"{cak} ANCIENT SHIP LANDED IN CARIBBEAN,THE EVIDENCE STILL REMAINS ON THE FLOOR OF THE OCEAN,MORE THAN 1 LANDING AND LIFT OFF"
3080,11/3/2018,11/2/2018,Toledo, OH,{tjd} Several sets of pulsating not strobing white lights traveling at a distance in formation new to SW then off
3081,11/5/2018,11/2/2018,Pittsburgh , PA,{jpg} I saw 2 orange spheres flying and then disappeared in the clouds
3082,11/2/2018,11/2/2018,Centerville, TN,{tjd} sparkling band of lights in pitch black sky just below horizon with almost like huge spot lights from below the band of lights
3083,11/3/2018,11/2/2018,Bluff Dale , TX,{tjd} A white cylinder with a blue plasma glow came in at 30 degree angle and changed direction
3084,11/2/2018,11/2/2018,New Braunfels, TX,{tjd} Six fireballs evenly spaced with flame tail on all 6 going upward at 45% angle then peal off to left in a random pattern and disappeared behind tree line.
3085,11/2/2018,11/2/2018,Tomball, TX,{tjd} Saw a bright light flash then go out waited it flashed a little longer & barely moved. It flashed again and I saw another object flying a circle around it.
3086,11/4/2018,11/3/2018,Decatur, AL,{jpg} I was raped and gave birth to a mixed race baby girl. Brown/bronze skin black curly hair
3087,11/15/2018,11/3/2018,Pineland, FL,"{cak} Irregular pulsating light that traveled in a semicircular path. Appeared to be at the same level as the stars. Perfect circle, then appeared to tilt as the light emitted went from circle to egg shaped and back Again. I cannot rationally explain it"
3088,11/6/2018,11/3/2018,Evanston, IL,{jpg} 3 orangish lights in sky hovering and then descending. One or two gave off very large and intermittent trails of sparks like a meteor or comet.
3089,1/3/2019,11/3/2018,Winnetka, IL,{dr}Three flying orbs
3090,11/3/2018,11/3/2018,Fishers, IN,"{tjd} 3rd floor apartment, top floor. Room shaking, look out window, lead red light with complementary lights around,"
3091,11/4/2018,11/3/2018,Bellmawr, NJ,{jpg} Bright metallic disc/oval shape. No windows. Disappeared
3092,11/13/2018,11/3/2018,Las Vegas, NV,"{cak} A dark odd shape in sky no movement, almost like a broke. Pixel in on a screen"
3093,11/3/2018,11/3/2018,Rochester , NY,"{tjd} We dawn beams ignoring light in the sky in a strange pattern. We then saw a circular ship slowly hovering above us, unlike anything now we'd ever seen."
3094,11/4/2018,11/3/2018,Walker, OR,"{jpg} it flew from the east and hovered briefly over I-5 as I drove south to cottage grove, by the time I pulled over it vanished"
3095,11/3/2018,11/3/2018,Angleton , TX,"{tjd} Loud trumpet noise, lost electricity 10 seconds, two bright lights in sky hovering for about 10 minutes."
3096,11/4/2018,11/3/2018,Katy, TX,"{jpg} Large, square or diamond shaped single bright light moving very quickly across distant horizon like shooting star and stop, disappear"
3097,11/4/2018,11/3/2018,Lewisburg , WV,{jpg} star like
3098,12/5/2018,11/4/2018,San Jose, CA,{jpg} They are always with me. The Aliens.
3099,11/4/2018,11/4/2018,Middletown, CT,"{jpg} Bright incandescent like ball steadily falling, hovered then twirled/rotated rapidly in horizontal elliptical motion."
3100,11/14/2018,11/4/2018,Luray , VA,"{cak} I was driving home from PA and was looking at the Shenandoah mountains. It was a clear blue sky and I saw a silver, shiny disc. The second I realized I saw it, it shot away leaving no trail. It was like a spark."
3101,11/12/2018,11/4/2018,Capon Springs, WV,{cak} Two bright lights that appeared oval and interacting with each other.
3102,11/5/2018,11/5/2018,Saginaw , MI,{jpg} Multiple objects in shape of boomerang
3103,11/6/2018,11/5/2018,Tippecanoe, OH,{jpg} Extremely fast object moving right to left that is recorded on my cellphone.
3104,11/7/2018,11/5/2018,Newport, OR,{jpg} STANDING OUT SIDE FACING SOUTH LOOKED UP AT SKY SAW WHAT APPEARED TO BE A FLYING TRIANGLE SHAPPED CRAFT THAT SEEMED TO ROTATE AS IT FLEW BY
3105,11/5/2018,11/5/2018,Kingsport, TN,{jpg} Over 10 flying objects in very close proximity to each other
3106,11/6/2018,11/6/2018,Laguna Hills , CA,{jpg}IC
3107,11/7/2018,11/6/2018,Paso Robles, CA,{jpg} Central California nighttime bright light observation
3108,11/7/2018,11/6/2018,San Mateo, CA,"{jpg} bright light in the sky, looked like a star but bigger, hovered for a few minutes or so, then dimmed, and sped off to the other side of the horizon in seconds, where it hovered"
3109,11/6/2018,11/6/2018,San Ramon, CA,"{jpg} A disk that changed from red, blue, green and white"
3110,11/8/2018,11/6/2018,Sebastopol, CA,{jpg} dark cigar or saucer way in the distance
3111,11/11/2018,11/6/2018,Boise, ID,{cak} Large unmistakable craft. Boomerang/triangle. Round edges. Dark. Seemed to ionize air around the craft
3112,11/7/2018,11/6/2018,Mount Vernon, IN,{jpg} Large red pulsating V ship with 4 white Orbs
3113,11/6/2018,11/6/2018,Hattiesburg, MS,"{jpg} Driving home from work about 1/2 mile from home, a green lighted triangular object moved quickly into my view and disappeared at a high speed into a different direction disappearing into dark sky."
3114,11/6/2018,11/6/2018,High point , NC,{jpg} 4 to 5 lights zooming back and forth then coming together in on light to instantly dispersing in totally different directions. Some would move as fast as a snap of a figure across sky.
3115,11/18/2018,11/6/2018,Syracuse, NY,"{rjl} Took a quick picture of a plane not seen in this area often, and captured a ufo"
3116,11/6/2018,11/6/2018,Mt. Orab, OH,"{jpg} One ball of light spreading out into about 6, twice."
3117,11/7/2018,11/6/2018,San Antonio, TX,"{jpg} Chevron shape plane type object with white light on V point, flying low and slow, photo shows it though as a yellow energy spiral shape!"
3118,11/27/2018,11/7/2018,Mesa, AZ,{tjd} I was filming the clouds one day and I found about at least 30 different ships that you can clearly see summer cloak some uncloak on camera it's unbelievable
3119,11/11/2018,11/7/2018,Alhambra, CA,{cak} wasn't sure if this is cloud or something else
3120,11/8/2018,11/7/2018,Sebastopol, CA,{jpg} a shiny object moving silently and with no exhaust
3121,11/13/2018,11/7/2018,Boca Raton, FL,{cak} was star gazing toward Pleiades notice a string of lighted dots. At first I thought it was cluster of distant stars then realized they were close up. The lights were in an even horizontal row and move in unison then I realized it was a black craft .
3122,11/7/2018,11/7/2018,CLERMONT, FL,{jpg} Two orbs over the house
3123,11/7/2018,11/7/2018,Tampa, FL,{jpg} Blimp format silver metallic over water by Gandy bridge. Vanished after a flash.
3124,12/3/2018,11/7/2018,Valrico, FL,"{jpg} While sky watching with 2 friends, I witnessed a Chevron shaped craft"
3125,11/10/2018,11/7/2018,Boise, ID,{dr}Strange markings on body.
3126,12/28/2018,11/7/2018,Duluth, MN,{tjd} it appeared to be a star at first but came toward me hovered and shut off all lights except3 or 4
3127,11/7/2018,11/7/2018,St. Louis, MO,"{jpg} went out back door, looked up in sky, saw a strange triangular cloud. it was not moving relative to the other clouds. the best after a minute or two started moving east northeast"
3128,11/7/2018,11/7/2018,Omaha, NE,{jpg} Web like silvery shaped pattern flying
3129,11/8/2018,11/7/2018,Las Vegas, NV,{jpg} Metallic orbs heading east near Las Vegas
